time,temp,tmin,tmax,rhum,prcp,wspd,pres,cldc
2026-01-01,16.5,8.0,23.0,57,0.0,5.6,1016.7,0
2026-01-02,15.0,8.0,22.0,67,0.0,7.9,1018.1,0
2026-01-03,15.8,11.0,22.0,66,0.0,5.2,1019.2,2
2026-01-04,13.4,9.0,19.0,79,0.0,7.9,1020.4,2
2026-01-05,11.5,7.5,18.0,72,0.0,10.8,1021.0,0
2026-01-06,11.7,7.0,19.0,66,0.0,9.8,1021.5,0
2026-01-07,13.6,7.0,22.0,50,0.0,11.0,1021.9,0
2026-01-08,13.0,5.0,20.0,48,0.0,8.7,1022.5,0
2026-01-09,12.2,5.0,19.0,47,0.0,11.9,1020.9,2
2026-01-10,13.9,7.0,21.0,38,0.0,12.8,1020.3,2
2026-01-11,14.4,8.0,22.0,49,0.0,11.7,1021.9,1
2026-01-12,13.9,8.0,20.0,60,0.0,9.1,1022.7,0
2026-01-13,13.8,9.0,21.0,52,0.0,10.9,1020.8,0
2026-01-14,13.2,7.0,21.0,52,0.0,8.1,1018.2,0
2026-01-15,13.4,8.0,21.0,45,0.0,14.3,1018.0,0
2026-01-16,14.3,7.0,22.0,50,0.0,11.9,1017.8,1
2026-01-17,14.2,6.0,23.0,53,0.0,6.5,1016.5,1
2026-01-18,15.6,5.0,26.0,45,0.0,6.2,1015.6,0
2026-01-19,17.5,9.0,26.0,49,0.0,5.1,1016.6,0
2026-01-20,18.2,10.0,26.0,55,0.0,6.5,1017.6,2
2026-01-21,17.4,11.0,24.0,57,0.0,7.5,1019.2,1
2026-01-22,16.4,8.0,25.0,46,0.0,5.8,1019.9,0
2026-01-23,16.2,7.0,25.0,49,0.0,4.3,1020.8,0
2026-01-24,17.8,10.0,25.0,44,0.0,6.7,1021.2,1
2026-01-25,17.8,12.0,24.0,59,0.0,8.0,1020.1,2
2026-01-26,17.7,10.0,25.0,63,0.0,7.0,1021.5,1
2026-01-27,17.5,10.0,25.0,64,0.0,4.8,1021.5,2
2026-01-28,18.3,10.0,26.0,64,0.0,3.0,1019.8,1
2026-01-29,18.5,14.0,24.6,67,0.0,10.3,1018.2,1
2026-01-30,18.1,12.6,25.2,61,0.0,9.6,1018.1,5
2026-01-31,18.3,12.2,25.9,55,0.0,7.0,1018.1,7
